,Adults SCL,Adults SCL,Adults SCL,Adults SCL,Adults OK,Adults OK,Adults OK,Adults OK,Adults NW,Adults NW,Adults NW,Adults NW,Children SCL,Children SCL,Children SCL,Children SCL,Children OK,Children OK,Children OK,Children OK,Children NW,Children NW,Children NW,Children NW
Protein Grouping Ambiguity,L06,L28,L11,L35,L26,L15,L20,L21,L36,L07,L24,L31,L48,L42,L25,L47,L22,L44,L16,L17,L12,L18,L23,L32
TRUE,0,0,0,7.0782,0,0,0,0,0,0,0,0,0,5.8943,0,0,0,0,0,0,0,0,0,0
TRUE,2.9123,0,0,4.0829,0,0,0,0,0,0,1.7413,0,0,4.9406,0,0,0,0,0,0,0,0,0,0
TRUE,10.513,6.3389,17.686,12.686,17.017,0,12.017,11.347,13.347,3.5042,6.1736,14.017,6.1736,17.521,3.6694,6.0083,5.1736,5.1736,1.6694,4.3389,0,7.6778,9.6778,3.3389
TRUE,19.57,4,13.57,18.616,5,0,10.687,11.687,17.523,23.523,6,5,3,0,2,11,0,7,16,16,13,10,8,3
,11,5,8,18,21,0,14,11,12,4,10,11,9,11,6,6,12,6,5,10,4,5,12,8
TRUE,9.0848,2.5193,22.698,14.39,12.973,0,16.376,10.752,14.603,2,1.7974,11.413,5.3397,17.048,2,5.9227,8.0718,1.9354,1.7974,5.2751,1.7862,6.3397,9.0611,2.7974
TRUE,5.096,0,16.498,8.9573,0,0,7.4839,0,0,0,0,8.9359,16.597,9.4606,0,3.3333,11.647,0,0,0,0,7.4839,0,0
TRUE,8.2354,4.3764,9.5707,12.159,12.504,0,8.8389,2.8496,8.7983,2.7252,4.0161,6.0231,6.6142,11.343,2.994,3.7703,4.7217,4.6956,2.5451,5.1509,0,6.1489,6.9189,2.5501
TRUE,7.9604,1.9868,15.908,12.927,13.921,0,19.894,10.934,11.927,4.9736,2.9802,11.927,10.941,17.901,4.9736,7.9604,5.967,2.9802,2.9868,4.9736,0.9934,4.967,8.9472,1.9868
TRUE,6.9654,1.7413,14.189,12.319,14.931,0,14.06,9.5774,8.7067,1.7413,3.4827,11.319,4.3534,10.448,1.7413,5.224,7.8361,4.3534,0.87067,4.3534,0,4.3534,8.7067,2.612
TRUE,3.9618,2,17.771,22.694,5.8471,0,10.847,12.847,10.885,1.9235,0,7.9235,19.732,10.885,2.9235,4.9235,25.809,0,0,1.9618,0,13.809,4.9618,0
TRUE,2.0346,0,2.8106,2.6813,2.0346,0,0,2.4226,0,1.2587,0,3.6813,0,4.5519,0,0,2.1639,1.6466,0,0,0,0,0,0
TRUE,5.7389,0,17.327,9.9612,0,0,8.4281,0,0,0,0,9.937,14.225,8.4402,0,0,14.116,0,0,0,0,9.4281,0,0
,6,12,7,5,21,4,4,6,6,9,7,4,3,5,6,14,17,9,8,8,12,8,6,11
TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2631,0,0,0,0,0,0,0,0,0,0
TRUE,4.0408,4,8.5816,8.5816,2.5,0,7.5848,5.0424,6.5408,0,0,6.0408,4.5408,7.0816,0,0,0,0,0,3,0,0,0,0
TRUE,11.298,2.0328,10.908,8.5141,2.5203,0,7.3617,6.6676,10.034,11.034,2.5203,3.5531,0,0,0,8.4965,0,2.0039,12.353,9.4422,9.4637,9.4422,6.3766,4.5203
TRUE,4.0408,0,6.5816,7.5816,0,0,7.5848,5.0424,5.5408,0,0,6.0408,4.5408,7.0816,0,0,0,0,0,0,0,0,0,0
TRUE,0,0,0,0,0,0,0,0,0,0,0,0,4.5712,0,0,0,0,0,0,0,0,0,0,0
TRUE,5.9999,9.9998,8.9998,3.9999,17,0,5.9999,7.9998,3,7.9998,5.9999,4.9999,4.9999,3.9999,9.9998,7.9998,7.9998,6.9999,5.9999,3.9999,5.9999,7.9998,3.9999,9.9998
