Date,Open,High,Low,Close,Adj Close,Volume
1962-08-24,5.473333,5.480000,5.433333,5.453333,1.329361,1252500
1962-08-27,5.453333,5.490000,5.433333,5.440000,1.326112,915000
1962-08-28,5.436667,5.436667,5.246667,5.246667,1.278982,2752500
1962-08-29,5.246667,5.280000,5.176667,5.213333,1.270856,2520000
1962-08-30,5.213333,5.260000,5.160000,5.170000,1.260293,952500
1962-08-31,5.180000,5.303333,5.180000,5.283333,1.287920,1230000
1962-09-04,5.283333,5.353333,5.146667,5.166667,1.259480,1627500
1962-09-05,5.166667,5.226667,5.086667,5.106667,1.244854,2250000
1962-09-06,5.106667,5.185000,5.080000,5.173333,1.261106,1815000
1962-09-07,5.173333,5.211667,5.096667,5.096667,1.242416,1320000
1962-09-10,5.096667,5.156667,5.033333,5.123333,1.248917,1807500
1962-09-11,5.123333,5.170000,5.080000,5.093333,1.241603,1545000
1962-09-12,5.100000,5.153333,5.100000,5.115000,1.246886,1305000
1962-09-13,5.115000,5.153333,5.111667,5.113333,1.246479,847500
1962-09-14,5.113333,5.186667,5.106667,5.176667,1.261918,1095000
1962-09-17,5.186667,5.276667,5.186667,5.266667,1.283857,1462500
1962-09-18,5.266667,5.331667,5.220000,5.226667,1.274107,2280000
1962-09-19,5.226667,5.246667,5.150000,5.150000,1.255417,1470000
1962-09-20,5.150000,5.193333,5.096667,5.103333,1.244041,885000
1962-09-21,5.100000,5.100000,5.006667,5.023333,1.224540,2137500
1962-09-24,4.966667,4.966667,4.823333,4.826667,1.176598,2625000
1962-09-25,4.826667,4.923333,4.786667,4.923333,1.200162,2445000
1962-09-26,4.923333,4.930000,4.740000,4.740000,1.155471,2055000
1962-09-27,4.740000,4.796667,4.646667,4.666667,1.137596,2880000
1962-09-28,4.670000,4.753333,4.670000,4.713333,1.148971,1417500
1962-10-01,4.713333,4.713333,4.536667,4.538333,1.106311,1852500
1962-10-02,4.576667,4.683333,4.576667,4.671667,1.138814,2835000
1962-10-03,4.671667,4.746667,4.626667,4.646667,1.132720,1800000
1962-10-04,4.646667,4.773333,4.626667,4.770000,1.162785,1305000
1962-10-05,4.770000,4.825000,4.736667,4.803333,1.170911,1740000
1962-10-08,4.803333,4.820000,4.786667,4.796667,1.169286,637500
1962-10-09,4.813333,4.900000,4.813333,4.883333,1.190413,1185000
1962-10-10,4.883333,4.956667,4.763333,4.788333,1.167254,1815000
1962-10-11,4.788333,4.846667,4.736667,4.746667,1.157097,1365000
1962-10-12,4.746667,4.756667,4.693333,4.736667,1.154658,1042500
1962-10-15,4.760000,4.893333,4.760000,4.893333,1.192850,930000
1962-10-16,4.893333,4.913333,4.766667,4.766667,1.161972,1260000
1962-10-17,4.766667,4.866667,4.740000,4.820000,1.174972,1380000
1962-10-18,4.820000,4.853333,4.735000,4.735000,1.154253,982500
1962-10-19,4.735000,4.746667,4.640000,4.641667,1.131502,2370000
1962-10-22,4.598333,4.598333,4.516667,4.573333,1.114843,2745000
1962-10-23,4.573333,4.573333,4.400000,4.400000,1.072590,2520000
1962-10-24,4.400000,4.533333,4.293333,4.533333,1.105092,3690000
1962-10-25,4.533333,4.540000,4.426667,4.513333,1.100216,2677500
1962-10-26,4.493333,4.493333,4.390000,4.420000,1.077465,1552500
1962-10-29,4.506667,4.596667,4.506667,4.593333,1.119718,3525000
1962-10-30,4.593333,4.693333,4.548333,4.690000,1.143283,2647500
1962-10-31,4.680000,4.680000,4.590000,4.613333,1.124594,1177500
1962-11-01,4.613333,4.693333,4.560000,4.693333,1.144096,1995000
1962-11-02,4.693333,4.931667,4.626667,4.763333,1.161160,3135000
1962-11-05,4.790000,4.856667,4.790000,4.820000,1.175219,1732500
1962-11-07,4.820000,4.886667,4.746667,4.816667,1.174408,1747500
1962-11-08,4.816667,4.866667,4.736667,4.736667,1.154901,1275000
1962-11-09,4.760000,4.820000,4.760000,4.816667,1.174408,1102500
1962-11-12,4.873333,4.986667,4.873333,4.980000,1.214232,2175000
1962-11-13,4.980000,5.006667,4.890000,4.890000,1.192287,2115000
1962-11-14,4.896667,5.006667,4.896667,4.993333,1.217482,1845000
1962-11-15,4.993333,5.058333,4.966667,4.966667,1.210981,2085000
1962-11-16,4.966667,5.046667,4.920000,5.046667,1.230486,1500000
1962-11-19,5.046667,5.046667,4.960000,4.960000,1.209355,937500
1962-11-20,4.986667,5.045000,4.986667,5.018333,1.223578,1125000
1962-11-21,5.018333,5.063333,4.993333,5.030000,1.226423,1597500
1962-11-23,5.030000,5.173333,5.003333,5.173333,1.261370,2767500
1962-11-26,5.173333,5.263333,5.153333,5.183333,1.263808,2145000
1962-11-27,5.183333,5.276667,5.153333,5.263333,1.283315,1732500
1962-11-28,5.273333,5.346667,5.273333,5.300000,1.292255,2662500
1962-11-29,5.300000,5.346667,5.290000,5.346667,1.303632,1755000
1962-11-30,5.346667,5.356667,5.296667,5.313333,1.295505,1305000
1962-12-03,5.260000,5.260000,5.203333,5.220000,1.272749,1290000
1962-12-04,5.233333,5.345000,5.233333,5.336667,1.301195,1762500
1962-12-05,5.336667,5.413333,5.316667,5.316667,1.296318,2145000
1962-12-06,5.316667,5.383333,5.306667,5.313333,1.295505,1387500
1962-12-07,5.313333,5.370000,5.300000,5.300000,1.292255,1117500
1962-12-10,5.300000,5.343333,5.186667,5.186667,1.264621,1477500
1962-12-11,5.186667,5.233333,5.150000,5.166667,1.259745,1132500
1962-12-12,5.193333,5.260000,5.193333,5.250000,1.280063,772500
1962-12-13,5.250000,5.276667,5.166667,5.173333,1.261370,1125000
1962-12-14,5.173333,5.210000,5.140000,5.193333,1.266247,997500
1962-12-17,5.193333,5.226667,5.120000,5.133333,1.251618,907500
1962-12-18,5.133333,5.176667,5.086667,5.096667,1.242677,877500
1962-12-19,5.096667,5.233333,5.096667,5.228333,1.274781,967500
1962-12-20,5.228333,5.293333,5.228333,5.228333,1.274781,1275000
1962-12-21,5.228333,5.246667,5.136667,5.136667,1.252430,900000
1962-12-24,5.171667,5.253333,5.171667,5.253333,1.280876,682500
1962-12-26,5.253333,5.293333,5.230000,5.250000,1.280063,727500
1962-12-27,5.250000,5.276667,5.193333,5.213333,1.271123,787500
1962-12-28,5.213333,5.240000,5.206667,5.233333,1.275999,585000
1962-12-31,5.233333,5.263333,5.193333,5.200000,1.267872,1050000
1963-01-02,5.200000,5.200000,5.123333,5.130000,1.250805,2392500
1963-01-03,5.140000,5.286667,5.140000,5.286667,1.289003,1125000
1963-01-04,5.293333,5.343333,5.293333,5.293333,1.290629,1537500
1963-01-07,5.293333,5.343333,5.240000,5.250000,1.280063,885000
1963-01-08,5.293333,5.380000,5.293333,5.380000,1.311760,1807500
1963-01-09,5.380000,5.433333,5.350000,5.383333,1.312572,1912500
1963-01-10,5.396667,5.453333,5.396667,5.420000,1.321513,1552500
1963-01-11,5.420000,5.436667,5.386667,5.436667,1.325577,1350000
1963-01-14,5.436667,5.530000,5.436667,5.523333,1.346708,2475000
1963-01-15,5.523333,5.573333,5.500000,5.533333,1.349145,2085000
1963-01-16,5.526667,5.526667,5.426667,5.446667,1.328016,1267500
1963-01-17,5.456667,5.530000,5.456667,5.516667,1.345083,1215000
1963-01-18,5.516667,5.540000,5.473333,5.500000,1.341019,855000
1963-01-21,5.500000,5.520000,5.446667,5.520000,1.345895,877500
1963-01-22,5.520000,5.583333,5.520000,5.530000,1.348333,930000
1963-01-23,5.530000,5.553333,5.513333,5.523333,1.346708,660000
1963-01-24,5.523333,5.580000,5.520000,5.546667,1.352397,930000
1963-01-25,5.546667,5.580000,5.520000,5.580000,1.360524,697500
1963-01-28,5.596667,5.660000,5.596667,5.660000,1.380031,1590000
1963-01-29,5.660000,5.660000,5.620000,5.623333,1.371090,742500
1963-01-30,5.623333,5.630000,5.573333,5.593333,1.363776,720000
1963-01-31,5.593333,5.653333,5.573333,5.650000,1.377592,997500
1963-02-01,5.650000,5.665000,5.640000,5.650000,1.377592,540000
1963-02-04,5.650000,5.656667,5.596667,5.603333,1.366214,630000
1963-02-05,5.603333,5.623333,5.566667,5.613333,1.368977,765000
1963-02-06,5.613333,5.650000,5.576667,5.576667,1.360036,705000
1963-02-07,5.586667,5.633333,5.586667,5.586667,1.362474,652500
1963-02-08,5.586667,5.620000,5.573333,5.600000,1.365725,600000
1963-02-11,5.600000,5.610000,5.570000,5.570000,1.358409,457500
1963-02-12,5.570000,5.580000,5.510000,5.580000,1.360848,915000
1963-02-13,5.580000,5.600000,5.566667,5.566667,1.357597,630000
1963-02-14,5.568333,5.610000,5.568333,5.570000,1.358409,840000
1963-02-15,5.570000,5.596667,5.566667,5.583333,1.361662,570000
1963-02-18,5.583333,5.593333,5.570000,5.571667,1.358816,450000
1963-02-19,5.571667,5.576667,5.523333,5.526667,1.347841,765000
1963-02-20,5.513333,5.513333,5.460000,5.480000,1.336461,900000
1963-02-21,5.480000,5.480000,5.413333,5.470000,1.334022,840000
1963-02-25,5.466667,5.466667,5.386667,5.386667,1.313698,607500
1963-02-26,5.386667,5.456667,5.370000,5.423333,1.322641,810000
1963-02-27,5.423333,5.455000,5.400000,5.403333,1.317762,442500
1963-02-28,5.403333,5.406667,5.320000,5.330000,1.299878,1125000
1963-03-01,5.330000,5.380000,5.296667,5.296667,1.291749,1027500
1963-03-04,5.333333,5.393333,5.333333,5.380000,1.312073,750000
1963-03-05,5.380000,5.380000,5.353333,5.356667,1.306382,457500
1963-03-06,5.356667,5.398333,5.336667,5.398333,1.316544,420000
1963-03-07,5.420000,5.463333,5.420000,5.450000,1.329143,720000
1963-03-08,5.450000,5.463333,5.426667,5.446667,1.328332,397500
1963-03-11,5.446667,5.476667,5.440000,5.443333,1.327518,487500
1963-03-12,5.443333,5.463333,5.430000,5.440000,1.326705,352500
1963-03-13,5.440000,5.470000,5.440000,5.450000,1.329143,457500
1963-03-14,5.450000,5.513333,5.433333,5.466667,1.333209,592500
1963-03-15,5.466667,5.516667,5.446667,5.510000,1.343776,510000
1963-03-18,5.510000,5.540000,5.456667,5.460000,1.331583,465000
1963-03-19,5.460000,5.480000,5.446667,5.466667,1.333209,412500
1963-03-20,5.473333,5.536667,5.473333,5.520000,1.346216,495000
1963-03-21,5.520000,5.533333,5.480000,5.483333,1.337274,795000
